Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.scalecube.services.RemoteServiceTest,test_remote_greeting_request_timeout_expires,630 -> 721,98c27a320e363f673f0b3161318ad37d334a5aee -> d441d18eac62a999db6025afbaac4fff16fc404e,"['https://github.com/scalecube/scalecube-services/commit/4ccade5ab58307c7c0ae0cec412e3bdeccb93fc3', 'https://github.com/scalecube/scalecube-services/commit/75eb33feec49f4690722fa423962190181d0f569', 'https://github.com/scalecube/scalecube-services/commit/fbf1f7a6c212f07469828807d516a42b89c990be', 'https://github.com/scalecube/scalecube-services/commit/03bb5f734db487005112467e1c5fd373d88305c8', 'https://github.com/scalecube/scalecube-services/commit/17ac6a6afa9afae029816d7a9ca4a0a0a96b1190', 'https://github.com/scalecube/scalecube-services/commit/31f6ac9381854930f9fd530c81a38a8b496d162e', 'https://github.com/scalecube/scalecube-services/commit/7f03a66ce70b0742367e9d57e11eca331dc9c84c', 'https://github.com/scalecube/scalecube-services/commit/a84340db6ff1f306a84a3f1f89e2c8e1b352254a', 'https://github.com/scalecube/scalecube-services/commit/cc54f92e0d5a3203623f5f72f0d2773229dfb8ff', 'https://github.com/scalecube/scalecube-services/commit/45f2de51eb0f23bca6ddfd9dc7ee15b9f46b57cb', 'https://github.com/scalecube/scalecube-services/commit/97cc82eab5ec9d108280ee936838f2418ee692f9', 'https://github.com/scalecube/scalecube-services/commit/98c27a320e363f673f0b3161318ad37d334a5aee', 'https://github.com/scalecube/scalecube-services/commit/d441d18eac62a999db6025afbaac4fff16fc404e']",27,0,27,17,9.0,9.0,11.0,11.0,16.0,14.0,1.0,1.0,20,"src/test/java/io/scalecube/services/RemoteServiceTest.java: [Rename Method(7), Rename Class(1), Extract Class(1)]"
io.scalecube.services.discovery.ScalecubeServiceDiscovery,listen,3388 -> 3733,72fb0a09fadf2ed0326cd4ae3c5a6c50b5624e79 -> c356eff45b7e911a2284bb06c8060336cec5a4c3,"['https://github.com/scalecube/scalecube-services/commit/3aa6c8c40d9a8db774a29352503b0982b3bbcc7a', 'https://github.com/scalecube/scalecube-services/commit/72fb0a09fadf2ed0326cd4ae3c5a6c50b5624e79', 'https://github.com/scalecube/scalecube-services/commit/c356eff45b7e911a2284bb06c8060336cec5a4c3', 'https://github.com/scalecube/scalecube-services/commit/44198755c069d25df4751bd4361d33d44a357b3f', 'https://github.com/scalecube/scalecube-services/commit/d575b4cecb495265f1365869dd0287188671daa7', 'https://github.com/scalecube/scalecube-services/commit/c2892ed69cc2e64bcbd5ac5183c78f45f5aaf5aa', 'https://github.com/scalecube/scalecube-services/commit/45ff8dc833c4abb6256289bde1cf26c74548a40c', 'https://github.com/scalecube/scalecube-services/commit/a18785be1da819dca0ac1c2eee50aa064ec4d26b']",73,22,51,17,2.0,3.0,3.0,3.0,5.0,0.0,1.0,1.0,4,"services-discovery/src/main/java/io/scalecube/services/discovery/ScalecubeServiceDiscovery.java: [Extract Method(10), Rename Method(2)]"
io.scalecube.services.gateway.client.websocket.WebsocketGatewayClientTransport,WebsocketGatewayClientTransport,4708 -> 4748,17f52137bc4428c0aea2cac124bed954083f66ae -> 0893cf1295896fa22115777feafabadd7b87c787,"['https://github.com/scalecube/scalecube-services/commit/17f52137bc4428c0aea2cac124bed954083f66ae', 'https://github.com/scalecube/scalecube-services/commit/0893cf1295896fa22115777feafabadd7b87c787']",20,4,16,1,1.0,1.0,7.0,5.0,1.0,0.0,3.0,1.0,1,"services-gateway/src/main/java/io/scalecube/services/gateway/client/websocket/WebsocketGatewayClientTransport.java: [Move Method(4), Add Method Modifier(2)]"
io.scalecube.services.ServiceCall,addressLookup,3969 -> 4070,707732bb0e47e13d4cb7a91dfb7ea0307aa66424 -> 89f39714bb1fd890ba2575b88a74a5658ad5006d,"['https://github.com/scalecube/scalecube-services/commit/d3e19b6d41d56482167c133166ee6798be266ff9', 'https://github.com/scalecube/scalecube-services/commit/41da81c0e6fa36b8e06a9a59461af634126ef1d0', 'https://github.com/scalecube/scalecube-services/commit/5e1e215dc84b4dd77c0e87b193919ceecf0a2419', 'https://github.com/scalecube/scalecube-services/commit/4d8b3f187d5dbbb023ce9d8b8a0360f0155eb4c0', 'https://github.com/scalecube/scalecube-services/commit/4f5616f9d06599bd616b5c0588b26c8d6c8d2e9d', 'https://github.com/scalecube/scalecube-services/commit/7717dd469ccf950d66840455041bd7023c28036c', 'https://github.com/scalecube/scalecube-services/commit/1757a97141da6f754767e91314a7f48d19cd3d87', 'https://github.com/scalecube/scalecube-services/commit/1b6aadb95857fd07968ff40897580df3bc06772f', 'https://github.com/scalecube/scalecube-services/commit/6708ab7bff972047c65188a306285c1611dc1b52', 'https://github.com/scalecube/scalecube-services/commit/7b245986617bb1d22775f731934bf1ebaef0971a', 'https://github.com/scalecube/scalecube-services/commit/267f7f5c93612fd280f95657800a8d520ceeee2d', 'https://github.com/scalecube/scalecube-services/commit/4f407736ac7dc771be1abe990102e9a4f1db5634', 'https://github.com/scalecube/scalecube-services/commit/e56d100458a38fb17fc51ea50060f6d97c40a2f4', 'https://github.com/scalecube/scalecube-services/commit/3493af27edb773f8819ee2161d8657c9e84cb4e9', 'https://github.com/scalecube/scalecube-services/commit/69cf7d4ef8d942adc546728208583a230bc7c489', 'https://github.com/scalecube/scalecube-services/commit/217dbac8992965ca743e7d4f531ee2edb1feef30', 'https://github.com/scalecube/scalecube-services/commit/1b1dae6dffe983cb08ccad2569ef6994056341a5', 'https://github.com/scalecube/scalecube-services/commit/b82214420affd715c3aa4392ac905ed6130d4697', 'https://github.com/scalecube/scalecube-services/commit/41f8c95115c465079f023bdea0fe20980ce5b9ce', 'https://github.com/scalecube/scalecube-services/commit/341f897e5406a9c72543e42cb03a235f089d9546', 'https://github.com/scalecube/scalecube-services/commit/b423deeda0e964e11934c47af4e2165e9f6f6847', 'https://github.com/scalecube/scalecube-services/commit/f687a3c3751dc23b83f2c24e419f1cd3fe0e8e72', 'https://github.com/scalecube/scalecube-services/commit/0ba095139a4cea0fc466cda29eb4ea43bc71dba3', 'https://github.com/scalecube/scalecube-services/commit/e5a4701ecf5f0996dd2d26c37aa4722e2d075364', 'https://github.com/scalecube/scalecube-services/commit/c25b9b7d169b345661b64dd7a9c771d897ec41ec', 'https://github.com/scalecube/scalecube-services/commit/707732bb0e47e13d4cb7a91dfb7ea0307aa66424', 'https://github.com/scalecube/scalecube-services/commit/89f39714bb1fd890ba2575b88a74a5658ad5006d', 'https://github.com/scalecube/scalecube-services/commit/11ab69d547d342d0f4d849e8403e97ae2e7310ed', 'https://github.com/scalecube/scalecube-services/commit/ce8d851daed088d018802c266b4e64f3c1774de4', 'https://github.com/scalecube/scalecube-services/commit/dd96aab7e6269c644ac8c54d1636b6214c3531c7', 'https://github.com/scalecube/scalecube-services/commit/5a744c5806f3bd1737c5874e0bc6cb2df2fbb763']",103,49,54,3,4.0,4.0,8.0,4.0,10.0,9.0,1.0,1.0,6,"services/src/main/java/io/scalecube/services/ServiceCall.java: [Extract Method(10), Inline Variable(5)]"
io.scalecube.services.ServiceCall,requestOne,602 -> 626,585a5b6d2bc40ca5245024488c31717e86f7da48 -> 97cc82eab5ec9d108280ee936838f2418ee692f9,"['https://github.com/scalecube/scalecube-services/commit/598102aac6f61d559d63d2d020226c8db153cd35', 'https://github.com/scalecube/scalecube-services/commit/bd770f358b6b8f6ca47883276e3c4b42d2bcb3c3', 'https://github.com/scalecube/scalecube-services/commit/3d6b08bf8059fe7d7632a320567054e289382445', 'https://github.com/scalecube/scalecube-services/commit/cc54f92e0d5a3203623f5f72f0d2773229dfb8ff', 'https://github.com/scalecube/scalecube-services/commit/ed1f07fe99cbd4c11d9f401ca923c6ceb3bddd72', 'https://github.com/scalecube/scalecube-services/commit/585a5b6d2bc40ca5245024488c31717e86f7da48', 'https://github.com/scalecube/scalecube-services/commit/97cc82eab5ec9d108280ee936838f2418ee692f9', 'https://github.com/scalecube/scalecube-services/commit/98c27a320e363f673f0b3161318ad37d334a5aee', 'https://github.com/scalecube/scalecube-services/commit/335d0d0aecacb81b64ccabdea97b24561dac1f1d', 'https://github.com/scalecube/scalecube-services/commit/8b77a472643fa9dc230ef68a43ff790ecb447948', 'https://github.com/scalecube/scalecube-services/commit/ecc41ff020186ae7fe119796f9473d21d355643c', 'https://github.com/scalecube/scalecube-services/commit/41da81c0e6fa36b8e06a9a59461af634126ef1d0', 'https://github.com/scalecube/scalecube-services/commit/5e1e215dc84b4dd77c0e87b193919ceecf0a2419', 'https://github.com/scalecube/scalecube-services/commit/4d8b3f187d5dbbb023ce9d8b8a0360f0155eb4c0', 'https://github.com/scalecube/scalecube-services/commit/6980291f2a5fda8b301e7888f95ec69f84fc1c99', 'https://github.com/scalecube/scalecube-services/commit/d6cf052954ba8f3181fc63fda9e536045596073a', 'https://github.com/scalecube/scalecube-services/commit/23cd90967e5a08eeb26b998fccfd2c781b00b480', 'https://github.com/scalecube/scalecube-services/commit/c1769b41f2b1726b0fb21a618a42422e5aa8f758', 'https://github.com/scalecube/scalecube-services/commit/224c951ba0d6114fe48811d510b5ecf6faf4f2b5']",0,0,0,2,6.0,3.0,9.0,3.0,10.0,3.0,2.0,1.0,3,"services/src/main/java/io/scalecube/services/ServiceCall.java: [Move Method(22), Merge Parameter(6), Change Method Access Modifier(4), Change Variable Type(4), Add Parameter(3), Move Attribute(2), Move And Rename Method(2)]"
io.scalecube.services.routings.RoutersTest,test_remote_service_tags,3540 -> 3743,27dae7450e201b56197125a606f2cc8999da3817 -> 4b1c4eea6465de31dc29a1bd0bb99e9e28fd9058,"['https://github.com/scalecube/scalecube-services/commit/37bf5b3099daae09704301b2a631531229ddeea5', 'https://github.com/scalecube/scalecube-services/commit/65c4a3b6e92b3e9d88d476ef56b328d4b1eb2f1f', 'https://github.com/scalecube/scalecube-services/commit/4d0789c7034e873a7d00e2f0478c016731f1d916', 'https://github.com/scalecube/scalecube-services/commit/fb2fb323aaddec7443bd43c2c2047e7b4700e82c', 'https://github.com/scalecube/scalecube-services/commit/ff26c8419e1be2cd801b2149315d752cb26aa16b', 'https://github.com/scalecube/scalecube-services/commit/a56ce17069d4bb0fd02dacdd3c6faa37f4ef030f', 'https://github.com/scalecube/scalecube-services/commit/89d48807314d221e373236dca7dca32ba6862724', 'https://github.com/scalecube/scalecube-services/commit/b0414b63673aa3ea9d95e54f622a281757acc286', 'https://github.com/scalecube/scalecube-services/commit/736f46ad91c1ddea10c2fec85178481b2fce4db8', 'https://github.com/scalecube/scalecube-services/commit/65be41a25ff44c5d46bbdf44abd4f56db1b42494', 'https://github.com/scalecube/scalecube-services/commit/1993aec2a605ecc43cfb53d94669c0cfbb755c9d', 'https://github.com/scalecube/scalecube-services/commit/83f05c98c30e8d222c3ac24687ff8b1547624ffc', 'https://github.com/scalecube/scalecube-services/commit/bac7abd4e694eea2808a5d151538902fa66d5e6d', 'https://github.com/scalecube/scalecube-services/commit/27dae7450e201b56197125a606f2cc8999da3817', 'https://github.com/scalecube/scalecube-services/commit/4b1c4eea6465de31dc29a1bd0bb99e9e28fd9058', 'https://github.com/scalecube/scalecube-services/commit/a3c68d7d3b3141c88808ebe237272142bce31ff7']",0,0,0,26,8.0,7.0,9.0,9.0,20.0,19.0,2.0,2.0,14,"services/src/test/java/io/scalecube/services/routings/RoutersTest.java: [Add Method Annotation(4), Remove Method Annotation(2), Add Method Modifier(2), Move And Rename Method(2), Move Class(1), Add Attribute Modifier(1), Move Method(1)]"
io.scalecube.services.discovery.ScalecubeServiceDiscovery,onDiscoveryEvent,4123 -> 4124,337393abd5c9db357d60771683a6f9a2a9da3d3b -> becd725b4dfcc2689119b29ccd7260449cee8a8b,"['https://github.com/scalecube/scalecube-services/commit/707732bb0e47e13d4cb7a91dfb7ea0307aa66424', 'https://github.com/scalecube/scalecube-services/commit/03cfa0fda16820eae1d7ede91d78d9da18a8a19f', 'https://github.com/scalecube/scalecube-services/commit/5b227912295409dd10d9ba06a5bc62f821cfe3d7', 'https://github.com/scalecube/scalecube-services/commit/337393abd5c9db357d60771683a6f9a2a9da3d3b', 'https://github.com/scalecube/scalecube-services/commit/becd725b4dfcc2689119b29ccd7260449cee8a8b', 'https://github.com/scalecube/scalecube-services/commit/ac83dade30a847689ad92f9fb844a0fcf95e46fb', 'https://github.com/scalecube/scalecube-services/commit/9b510d568072929fe678a1c4f4c10ec096b09ad1', 'https://github.com/scalecube/scalecube-services/commit/c075dbefc023600d4fa379e169b2373ef19acd2e']",0,0,0,2,5.0,5.0,36.0,32.0,19.0,19.0,8.0,7.0,20,"services-discovery/src/main/java/io/scalecube/services/discovery/ScalecubeServiceDiscovery.java: [Extract Method(34), Inline Variable(7), Change Variable Type(4), Change Parameter Type(4), Remove Parameter(3), Remove Attribute Modifier(2)]"
io.scalecube.services.registry.ServiceRegistryImpl,registerService,4403 -> 4405,8169fe50c6fa3852a59d38aea57c4eaec4e6c3ff -> 610912120fec0add74e65692e6bea4118aa664e0,"['https://github.com/scalecube/scalecube-services/commit/942fac76605293cb9584a01f66cd213b877c6226', 'https://github.com/scalecube/scalecube-services/commit/0d621f2697d50fb995cf72a9503bbcd6a1823d26', 'https://github.com/scalecube/scalecube-services/commit/92edce6c94793a6875b9f6a3bc1a6fbc1a6a45b9', 'https://github.com/scalecube/scalecube-services/commit/cc54f92e0d5a3203623f5f72f0d2773229dfb8ff', 'https://github.com/scalecube/scalecube-services/commit/45f2de51eb0f23bca6ddfd9dc7ee15b9f46b57cb', 'https://github.com/scalecube/scalecube-services/commit/97cc82eab5ec9d108280ee936838f2418ee692f9', 'https://github.com/scalecube/scalecube-services/commit/858469d4e13cc4623801a92600b7342d61032b39', 'https://github.com/scalecube/scalecube-services/commit/c025efe0d63972a36ecf187dc3d0782da992dccc', 'https://github.com/scalecube/scalecube-services/commit/3e9608b5ccdc5e4fdccd24866ff6b45959e01430', 'https://github.com/scalecube/scalecube-services/commit/f7ba23d7c986dbd8e54aed8c2a5a1a04bb250af1', 'https://github.com/scalecube/scalecube-services/commit/a9c3007c9b8ed60ab09f4471d3e18cf5ede2bb4b', 'https://github.com/scalecube/scalecube-services/commit/9101cddb4842339cf3b53e8587b9bf983d71d1b4', 'https://github.com/scalecube/scalecube-services/commit/8f381a3d29df7d25348d056a8ab51676c805f405', 'https://github.com/scalecube/scalecube-services/commit/86d237572d3fb305c8a2639123fbbcb13de89871', 'https://github.com/scalecube/scalecube-services/commit/141cfd181f21077a3cdecd0323878c75e7c32146', 'https://github.com/scalecube/scalecube-services/commit/3aa6c8c40d9a8db774a29352503b0982b3bbcc7a', 'https://github.com/scalecube/scalecube-services/commit/9ea6c89be1d78f6ac896434b95f167183734a280', 'https://github.com/scalecube/scalecube-services/commit/7925405edbb40cd9ba6cb5d71fce4a3dd1e5647d', 'https://github.com/scalecube/scalecube-services/commit/a66bcde20790f055ff33e075d481d3731f9c6ee5', 'https://github.com/scalecube/scalecube-services/commit/4e3955e258f6e0231284225d6bdf3667034d3272', 'https://github.com/scalecube/scalecube-services/commit/2c6dd34342c589ff7d627c14ca7b0eb2dd87c42f', 'https://github.com/scalecube/scalecube-services/commit/c87bf39a55594f7db83eacb71da98a74e05bcfd1', 'https://github.com/scalecube/scalecube-services/commit/6b3330d4510f75365876f9af5525b2cf4f4d8829', 'https://github.com/scalecube/scalecube-services/commit/d60856bb4713af0776d35a4a3458a5b8043ece9b', 'https://github.com/scalecube/scalecube-services/commit/df0847014c47e80de037411895f40e2266d30d1b', 'https://github.com/scalecube/scalecube-services/commit/f33e1730d9f9e54636ee4a3f2a840999141daaac', 'https://github.com/scalecube/scalecube-services/commit/3274f21a9623e229dc6028a02ed586d3b9b13b5a', 'https://github.com/scalecube/scalecube-services/commit/ad7edccb769cdfaaf00c135962f44871822d5e52', 'https://github.com/scalecube/scalecube-services/commit/456423a8bbf2854e8c690cd5ff452dee20463bc6', 'https://github.com/scalecube/scalecube-services/commit/b3b0503c0fbf64077ed34940fc270ea93faf443c', 'https://github.com/scalecube/scalecube-services/commit/cb9efb570b950b97c92fcdf201be203fac95f55e', 'https://github.com/scalecube/scalecube-services/commit/def67c45933af36cc797bca3bc2b31f38c9e173b', 'https://github.com/scalecube/scalecube-services/commit/3d19e4d67565ec0caad7061aa14046f2ca1fd6f9', 'https://github.com/scalecube/scalecube-services/commit/3aa0ceaea7c32648020211444083c4718deb55a6', 'https://github.com/scalecube/scalecube-services/commit/2822fa726e5b47a531713b502a13694748a9bac6', 'https://github.com/scalecube/scalecube-services/commit/51900b73e7cd4af180833d6475612d2dc3413e24', 'https://github.com/scalecube/scalecube-services/commit/5af68d1095766fe4c55c450ff94c0932ebe244ef', 'https://github.com/scalecube/scalecube-services/commit/5eaafd849876e0291ded8947205a74ca23824104', 'https://github.com/scalecube/scalecube-services/commit/5a7901dddb6efb6a5922139714aa26fa933518fc', 'https://github.com/scalecube/scalecube-services/commit/d208b1568a3ba39be16f0ec62b64001c42d6cf41', 'https://github.com/scalecube/scalecube-services/commit/d3575421b1c9c072ae2f98a981f715964e65a0fd', 'https://github.com/scalecube/scalecube-services/commit/799aee0e70c532513569d9d9ab9d1b14bccb4957', 'https://github.com/scalecube/scalecube-services/commit/af1b82ffd4d1977d9b32dcb60292a8af730b6f13', 'https://github.com/scalecube/scalecube-services/commit/4667bd7a470a736866420b812139932d53f82794', 'https://github.com/scalecube/scalecube-services/commit/8169fe50c6fa3852a59d38aea57c4eaec4e6c3ff', 'https://github.com/scalecube/scalecube-services/commit/610912120fec0add74e65692e6bea4118aa664e0', 'https://github.com/scalecube/scalecube-services/commit/9719912b145decbd3708777eaa5795f92b935ac7', 'https://github.com/scalecube/scalecube-services/commit/d704ba40ea3e373bd564fbed6b9e6240c6b2c6c1', 'https://github.com/scalecube/scalecube-services/commit/c4ce6dbdcb15cebbe7731cb5d3e87f1916cfd456']",0,0,0,8,3.0,2.0,12.0,8.0,8.0,8.0,3.0,3.0,2,"services/src/main/java/io/scalecube/services/registry/ServiceRegistryImpl.java: [Extract Method(25), Rename Variable(8), Parameterize Variable(4), Change Variable Type(4), Rename Attribute(2)]"
io.scalecube.services.ServiceCall,requestBidirectional,3712 -> 3713,0ed95b9312d53aa1e3c4d61311b8814085066ec7 -> 5c508c7f29c5f4461428e1dba933afb47a15d411,"['https://github.com/scalecube/scalecube-services/commit/598102aac6f61d559d63d2d020226c8db153cd35', 'https://github.com/scalecube/scalecube-services/commit/66c7d5f1b0e625287248b1a46b7a231d8aecbe05', 'https://github.com/scalecube/scalecube-services/commit/a7965537bb058626fb79d0412c7b0e28d4ec7b8e', 'https://github.com/scalecube/scalecube-services/commit/d229849cffa77dc1dbc0894ee77d9ee99aa4c06a', 'https://github.com/scalecube/scalecube-services/commit/51ec769d0e3a42fe386b4e7bc24c64250a1add2c', 'https://github.com/scalecube/scalecube-services/commit/8aa1769b560d7615e54a47f482c18d1b49a86162', 'https://github.com/scalecube/scalecube-services/commit/9772a554e165d586720c8f318d6f75cce3f518fa', 'https://github.com/scalecube/scalecube-services/commit/b044ecdd4e4583fb0c2159564829b4f9b98ceacd', 'https://github.com/scalecube/scalecube-services/commit/913ad4c743fb8dc406b373ae85818b964639e238', 'https://github.com/scalecube/scalecube-services/commit/44685507042b589f15c765f6405cf44688fede4d', 'https://github.com/scalecube/scalecube-services/commit/d3e19b6d41d56482167c133166ee6798be266ff9', 'https://github.com/scalecube/scalecube-services/commit/bd770f358b6b8f6ca47883276e3c4b42d2bcb3c3', 'https://github.com/scalecube/scalecube-services/commit/cc54f92e0d5a3203623f5f72f0d2773229dfb8ff', 'https://github.com/scalecube/scalecube-services/commit/45f2de51eb0f23bca6ddfd9dc7ee15b9f46b57cb', 'https://github.com/scalecube/scalecube-services/commit/ed1f07fe99cbd4c11d9f401ca923c6ceb3bddd72', 'https://github.com/scalecube/scalecube-services/commit/97cc82eab5ec9d108280ee936838f2418ee692f9', 'https://github.com/scalecube/scalecube-services/commit/98c27a320e363f673f0b3161318ad37d334a5aee', 'https://github.com/scalecube/scalecube-services/commit/335d0d0aecacb81b64ccabdea97b24561dac1f1d', 'https://github.com/scalecube/scalecube-services/commit/8b77a472643fa9dc230ef68a43ff790ecb447948', 'https://github.com/scalecube/scalecube-services/commit/ecc41ff020186ae7fe119796f9473d21d355643c', 'https://github.com/scalecube/scalecube-services/commit/41da81c0e6fa36b8e06a9a59461af634126ef1d0', 'https://github.com/scalecube/scalecube-services/commit/5e1e215dc84b4dd77c0e87b193919ceecf0a2419', 'https://github.com/scalecube/scalecube-services/commit/4d8b3f187d5dbbb023ce9d8b8a0360f0155eb4c0', 'https://github.com/scalecube/scalecube-services/commit/af1362963b9b347c484ed6e1c2b44298a4059958', 'https://github.com/scalecube/scalecube-services/commit/e537f4baaf0e07bade7ce596f858d23c05b44cc1', 'https://github.com/scalecube/scalecube-services/commit/4a7435c4871c8f621b0adee13b206b8a8ce2faaf', 'https://github.com/scalecube/scalecube-services/commit/4947a4f823008559f021829e3a8c710911826b4f', 'https://github.com/scalecube/scalecube-services/commit/3218417e7458970ec32fd4ac30d427e166420d33', 'https://github.com/scalecube/scalecube-services/commit/0ed95b9312d53aa1e3c4d61311b8814085066ec7', 'https://github.com/scalecube/scalecube-services/commit/5c508c7f29c5f4461428e1dba933afb47a15d411']",0,0,0,3,5.0,4.0,14.0,16.0,14.0,12.0,2.0,3.0,22,"services/src/main/java/io/scalecube/services/ServiceCall.java: [Move Method(22), Merge Parameter(6), Change Method Access Modifier(4), Change Variable Type(4), Add Parameter(3), Move Attribute(2), Move And Rename Method(2)]"
io.scalecube.services.Microservices,registerInMethodRegistry,4280 -> 4283,44976f726bf74aa89d98eac3835b7e110012159b -> 53538a3d67ffd0b480872f594b794c5da7145261,"['https://github.com/scalecube/scalecube-services/commit/aeb12ebfb530a582920a48c9fd4ea3d8442894bf', 'https://github.com/scalecube/scalecube-services/commit/2e31538bb448b72372f00d2b4edb207ae1740eb9', 'https://github.com/scalecube/scalecube-services/commit/44976f726bf74aa89d98eac3835b7e110012159b', 'https://github.com/scalecube/scalecube-services/commit/53538a3d67ffd0b480872f594b794c5da7145261', 'https://github.com/scalecube/scalecube-services/commit/9d0078b1b3ab511e035eac3c1264c3265d24f0f1', 'https://github.com/scalecube/scalecube-services/commit/20aa90e5cf3dbf36d5464370e2dac7d977a3d13b', 'https://github.com/scalecube/scalecube-services/commit/dd96aab7e6269c644ac8c54d1636b6214c3531c7', 'https://github.com/scalecube/scalecube-services/commit/5a744c5806f3bd1737c5874e0bc6cb2df2fbb763', 'https://github.com/scalecube/scalecube-services/commit/c7810cd0cf9cf5bbbcb9daa74a1536c089f72235', 'https://github.com/scalecube/scalecube-services/commit/9e1704113fbbde50f1b2c24935cd8a66ea886b2e', 'https://github.com/scalecube/scalecube-services/commit/73d2a466eb0e117d657dca2c8ddea87427eac793', 'https://github.com/scalecube/scalecube-services/commit/5a9d365e2cf83ed09f3a142ef9105d31e474b136', 'https://github.com/scalecube/scalecube-services/commit/507b248bec1d75b220c85d5d76a0225ea719bda1']",0,0,0,5,3.0,2.0,3.0,3.0,15.0,11.0,1.0,1.0,8,"services/src/main/java/io/scalecube/services/Microservices.java: [Extract Method(6), Add Class Annotation(3)]"
io.scalecube.services.RemoteServiceTest,test_remote_service_tags,203 -> 204,ebfab870f0e43e04467bdc275aa2fb99e1d92952 -> b718dfe9124178d689415ef502732bf4adbef174,"['https://github.com/scalecube/scalecube-services/commit/4ccade5ab58307c7c0ae0cec412e3bdeccb93fc3', 'https://github.com/scalecube/scalecube-services/commit/fbf1f7a6c212f07469828807d516a42b89c990be', 'https://github.com/scalecube/scalecube-services/commit/1b85d2d91816c7e761202f3e662ebe93e82728d9', 'https://github.com/scalecube/scalecube-services/commit/e2d54aa53a0380aec69166278d1645e3d3ef631d', 'https://github.com/scalecube/scalecube-services/commit/e508e7b9f3f673d57973b7e4e6d90c3c7ed93319', 'https://github.com/scalecube/scalecube-services/commit/03bb5f734db487005112467e1c5fd373d88305c8', 'https://github.com/scalecube/scalecube-services/commit/7b6eda301a7ef9ba96332d23d6902ba180b287dc', 'https://github.com/scalecube/scalecube-services/commit/59a8793df5465cff01ba376a647088797ce339e9', 'https://github.com/scalecube/scalecube-services/commit/1baf9d46316a093ee114895f23ccf71c10ae0923', 'https://github.com/scalecube/scalecube-services/commit/51aa44ca3ed73b5cd57e95a719f47ce328f2cfb5', 'https://github.com/scalecube/scalecube-services/commit/0b6b1971bb4a4906247711bb1b898a1d8e676588', 'https://github.com/scalecube/scalecube-services/commit/b63231dc497af2ac520cbd85a04d84a34546df3e', 'https://github.com/scalecube/scalecube-services/commit/9a149a2f9f1233889556c19f2f0ad18f474edf9e', 'https://github.com/scalecube/scalecube-services/commit/e29fbd062870af62eba74389bbd1683e57b0ac18', 'https://github.com/scalecube/scalecube-services/commit/154bb6fff037c772106e16362b8c1aca38b08f84', 'https://github.com/scalecube/scalecube-services/commit/3e3e5e45922b84fab5f26976824fe444a47a82f0', 'https://github.com/scalecube/scalecube-services/commit/484cb9445bc085c734bc271fd3b35e8506fdf559', 'https://github.com/scalecube/scalecube-services/commit/07a4e4cc27d6cb679e7a0c99caf060b8771c0081', 'https://github.com/scalecube/scalecube-services/commit/ebfab870f0e43e04467bdc275aa2fb99e1d92952', 'https://github.com/scalecube/scalecube-services/commit/b718dfe9124178d689415ef502732bf4adbef174', 'https://github.com/scalecube/scalecube-services/commit/dd8f246c5703da95c67494b1f083127afb6ffc98', 'https://github.com/scalecube/scalecube-services/commit/62360802de54c113640a59f7684fa8311f6b89a1', 'https://github.com/scalecube/scalecube-services/commit/17ac6a6afa9afae029816d7a9ca4a0a0a96b1190', 'https://github.com/scalecube/scalecube-services/commit/31f6ac9381854930f9fd530c81a38a8b496d162e', 'https://github.com/scalecube/scalecube-services/commit/7f03a66ce70b0742367e9d57e11eca331dc9c84c', 'https://github.com/scalecube/scalecube-services/commit/598102aac6f61d559d63d2d020226c8db153cd35', 'https://github.com/scalecube/scalecube-services/commit/7af31972510a4848ffef6a1182a55fe5a1f453da', 'https://github.com/scalecube/scalecube-services/commit/a84340db6ff1f306a84a3f1f89e2c8e1b352254a', 'https://github.com/scalecube/scalecube-services/commit/cc54f92e0d5a3203623f5f72f0d2773229dfb8ff', 'https://github.com/scalecube/scalecube-services/commit/45f2de51eb0f23bca6ddfd9dc7ee15b9f46b57cb', 'https://github.com/scalecube/scalecube-services/commit/97cc82eab5ec9d108280ee936838f2418ee692f9', 'https://github.com/scalecube/scalecube-services/commit/98c27a320e363f673f0b3161318ad37d334a5aee', 'https://github.com/scalecube/scalecube-services/commit/d441d18eac62a999db6025afbaac4fff16fc404e']",0,0,0,1,10.0,8.0,24.0,24.0,26.0,22.0,6.0,6.0,24,"src/test/java/io/scalecube/services/RemoteServiceTest.java: [Rename Method(7), Rename Class(1), Extract Class(1)]"
io.scalecube.services.transport.rsocket.RSocketClientTransportFactory,websocket,4514 -> 4581,19bd0168ff688b4bf7322bcde01a887e2375989a -> c2892ed69cc2e64bcbd5ac5183c78f45f5aaf5aa,"['https://github.com/scalecube/scalecube-services/commit/19bd0168ff688b4bf7322bcde01a887e2375989a', 'https://github.com/scalecube/scalecube-services/commit/c2892ed69cc2e64bcbd5ac5183c78f45f5aaf5aa', 'https://github.com/scalecube/scalecube-services/commit/0573b390536c5c0f9cee334790e89d489c13c503']",0,0,0,29,3.0,3.0,7.0,8.0,8.0,7.0,2.0,2.0,8,services-transport-parent/services-transport-rsocket/src/main/java/io/scalecube/services/transport/rsocket/RSocketClientTransportFactory.java: [Extract Method(10)]
