Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
net.hasor.rsf.center.client.RsfCenterClientManager,class,388 -> 400,3130b7916ea9024fa8250e36c4d0e4877c760808 -> ac18b99658122253d2337bfe1b9629e4310bd7df,187,77,110,17,22.0,19.0,1.0,1.0,0.0,0.0,255.0,217.0,0.0,0.0,78.0,67.0,64.0,55.0,offline[ values():1 offlineService():1 ] newService[ getBindID():3 containsKey():1 error():1 put():1 info():1 ] RsfCenterClientManager[ atTime():1 getSettings():1 getEventContext():1 toHostSchema():1 getEnvironment():1 getCenterHeartbeatTime():1 wrapper():1 getRsfClient():1 getAppContext():1 bindAddress():1 addListener():1 ] deleteService[ containsKey():1 remove():1 offlineService():1 ] fillTo[ getBindID():1 getName():1 setBindName():1 setClientTimeout():1 getBindGroup():1 getBindName():1 getBindVersion():1 setBindVersion():1 setBindType():1 getSerializeType():1 getBindType():1 setBindID():1 setSerializeType():1 getClientTimeout():1 setBindGroup():1 ] onEvent[ getServiceID():1 containsKey():1 get():1 setCenterSnapshot():1 isBlank():1 error():1 getSnapshotInfo():1 info():1 ] online[ getMessage():1 isOnline():1 run():1 error():1 info():1 ] processResult[ getMessage():3 error():2 add():1 getProviderList():1 debug():1 getCenterSnapshot():1 getUpdater():1 isEmpty():1 appendAddress():1 ] run[ getBindID():11 info():10 getMessage():9 size():8 getServiceType():6 getSettings():4 fillTo():4 debug():4 toString():4 error():3 put():3 getCenterSnapshot():3 values():2 remove():2 setClientMaximumRequest():2 isNotBlank():2 publishService():2 add():2 getKey():2 entrySet():2 isEmpty():2 processResult():2 getQueueMaxSize():2 getValue():2 receiveService():2 getMaximumRequest():2 equals():2 setCenterSnapshot():2 setQueueMaxSize():2 isOnline():1 run():1 atTime():1 publishServiceBeat():1 receiveServiceBeat():1 addAll():1 ] offlineService[ getBindID():2 getServiceType():2 error():2 info():2 removePublish():1 isNotBlank():1 getMessage():1 removeReceive():1 ] ,"rsf-core/src/main/java/net/hasor/rsf/center/client/RsfCenterClientManager.java: [Extract Method(94), Rename Variable(8), Change Variable Type(4)]"
net.hasor.rsf.rpc.client.RsfClientWrappe$RemoteWrapper,innerclass,28 -> 76,e640dcd9f2a240c956bc21e2d688b76991aecb4e -> 20f67a6769f682a42a6c0d8136397e5e25c212cd,6,3,3,1,3.0,2.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,3.0,3.0,2.0,2.0,invoke[ getName():1 syncInvoke():1 getParameterTypes():1 ] RemoteWrapper[  ] ,"rsf-core/src/main/java/net/hasor/rsf/rpc/client/RsfClientWrappe.java: [Add Method Annotation(48), Move Method(27), Change Variable Type(10), Move Attribute(3), Remove Parameter Modifier(2), Add Attribute Modifier(2), Add Parameter Modifier(2), Move Class(1), Merge Class(1), Remove Attribute Modifier(1), Move And Rename Method(1)]"
net.hasor.rsf.domain.ServiceDefine,class,7 -> 16,d621212e33f8055f6f678157d8abb2d2ad5447e1 -> a516fb0134d44feaa034480e3261c2542d48afea,47,25,22,6,13.0,8.0,1.0,1.0,128.0,89.0,78.0,69.0,0.0,0.0,25.0,17.0,24.0,21.0,getBindID[ getDomain():1 getBindID():1 ] getFilterManager[ getFilterManager():1 getRsfContext():1 ] getCustomerProvider[ getDomain():1 getProvider():1 ] getBindGroup[ getDomain():1 getBindGroup():1 ] getBindName[ getDomain():1 getBindName():1 ] getBindVersion[ getDomain():1 getBindVersion():1 ] getSerializeType[ getDomain():1 getSerializeType():1 ] getDomain[  ] getFilter[ filterID():1 equals():1 get():1 getFilters():1 isBlank():1 ] unRegister[ getDomain():1 getRsfContext():1 recoverService():1 getBindCenter():1 ] getBindType[ getDomain():1 getBindType():1 ] ServiceDefine[  ] getFilters[ getBindID():1 findAllComfitByObjectID():1 getFilterManager():1 ] getRsfContext[  ] toString[ append():2 filterID():1 getDomain():1 get():1 getFilters():1 toString():1 ] getClientTimeout[ getDomain():1 getClientTimeout():1 ] getMetaData[ getDomain():1 getMetaData():1 ] ,"rsf-core/src/main/java/net/hasor/rsf/domain/ServiceDefine.java: [Extract Method(4), Encapsulate Attribute(2), Change Return Type(2), Change Variable Type(2), Rename Variable(2), Replace Attribute With Variable(2), Move Class(1), Change Class Access Modifier(1)]"
net.hasor.rsf.BindCenter,interface,7 -> 12,d621212e33f8055f6f678157d8abb2d2ad5447e1 -> 3e58c08891a219d1ab95cb450892891e9021add8,0,0,0,3,3.0,3.0,1.0,1.0,21.0,15.0,9.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,getServiceNames[  ] getServiceByID[  ] getRsfBinder[  ] getServiceByName[  ] getService[  ] ,"rsf-core/src/main/java/net/hasor/rsf/BindCenter.java: [Remove Method Modifier(1), Pull Up Method(1)]"
net.hasor.rsf.rpc.client.RsfClientWrappe,class,141 -> 142,8d89fc89a7e2ea7ea4568f926bbcab47998ddeaa -> aa35c75dfe7ff112e3cadab418819b22d6cab6a2,57,20,37,40,16.0,15.0,1.0,1.0,32.0,39.0,121.0,108.0,0.0,0.0,24.0,25.0,29.0,24.0,doCallBackRequest[ getBindType():1 getServiceMethod():1 getRequestManager():1 sendRequest():1 ] validateTimeout[ getSettings():1 getDefaultTimeout():1 ] syncInvoke[ validateTimeout():1 getBindType():1 getResponseData():1 get():1 getServiceMethod():1 getRequestManager():1 getClientTimeout():1 sendRequest():1 ] getRemoteByID[ getBindType():1 wrapper():1 getService():1 ] doCallBackInvoke[ doCallBackRequest():1 ] RsfClientWrappe[ getBindCenter():1 ] wrapper[ get():2 wrapper():2 getService():2 toClass():1 getBindID():1 addDelegate():1 getMessage():1 newInstance():1 isInterface():1 putIfAbsent():1 ] getRemoteByName[ getBindType():1 wrapper():1 getServiceByName():1 ] wrapperByID[ wrapper():1 getService():1 ] asyncInvoke[ getBindType():1 getServiceMethod():1 getRequestManager():1 sendRequest():1 ] wrapperByName[ wrapper():1 getServiceByName():1 ] getRemote[ getBindType():1 wrapper():1 getService():1 getRemote():1 ] ,"rsf-core/src/main/java/net/hasor/rsf/rpc/client/RsfClientWrappe.java: [Add Method Annotation(48), Move Method(27), Change Variable Type(10), Move Attribute(3), Remove Parameter Modifier(2), Add Attribute Modifier(2), Add Parameter Modifier(2), Move Class(1), Merge Class(1), Remove Attribute Modifier(1), Move And Rename Method(1)]"
net.hasor.rsf.center.server.manager.ServiceManager,class,439 -> 453,a9cc8dffee781c3b810e1071571a4f13e43c6cfc -> c5f7e229cb34a3cda7395670722da1329cf95b3e,517,218,299,36,23.0,20.0,1.0,1.0,29.0,8.0,454.0,402.0,0.0,0.0,83.0,73.0,109.0,123.0,queryProviders[  ] publishConsumer[ refreshAddress():3 assertIsNotNull():3 isSuccess():3 buildFailedResult():3 getBindID():2 getContent():2 addLog():2 isEmpty():2 converToService():2 setType():2 getResult():2 getRefreshTime():2 currentTimeMillis():2 setContent():1 logException():1 queryObjectByID():1 getTime():1 getProviderExpireTime():1 error():1 setRefreshTime():1 getHostPort():1 queryObjectListByID():1 converToString():1 create():1 setRefObjectID():1 equalsIgnoreCase():1 getRsfAddress():1 getAuthInfo():1 add():1 singletonList():1 setObjectID():1 refreshObject():1 getObjectID():1 storeObject():1 setSuccess():1 toJson():1 setErrorInfo():1 getType():1 evalRegisterID():1 ] removeRegister[  ] requestProviders[  ] evalRegisterID[ setSuccess():2 setErrorInfo():2 getMD5():1 setResult():1 setThrowable():1 ] buildFailedResult[ setErrorInfo():2 setSuccess():1 setThrowable():1 getResult():1 getErrorInfo():1 getThrowable():1 ] publishService[ isSuccess():4 buildFailedResult():4 getResult():4 assertIsNotNull():3 appendAddress():3 setType():3 setContent():2 getBindID():2 getContent():2 setRefreshTime():2 converToString():2 addLog():2 isEmpty():2 setObjectID():2 converToService():2 refreshObject():2 storeObject():2 getRefreshTime():2 currentTimeMillis():2 logException():1 queryObjectByID():1 getTime():1 getConsumerExpireTime():1 error():1 getHostPort():1 queryObjectListByID():1 create():1 setRefObjectID():1 equalsIgnoreCase():1 getRsfAddress():1 getAuthInfo():1 add():1 singletonList():1 getObjectID():1 setSuccess():1 toJson():1 setErrorInfo():1 getType():1 evalRegisterID():1 ] serviceBeat[  ] getAuthInfo[ getAttribute():1 ] ,"rsf-center/rsf-center-runtime/src/main/java/net/hasor/rsf/center/server/manager/ServiceManager.java: [Extract Method(92), Rename Variable(8), Rename Parameter(8), Parameterize Variable(4)]"
net.hasor.rsf.transform.codec.v1.CodecAdapterForV1,class,301 -> 436,7031fd911061c3eb593e9c6957ca86fb37bcea44 -> 31b54025e10fd95914cbf4b0e541b7f5b35fa08d,0,0,0,208,22.0,21.0,1.0,1.0,48.0,48.0,192.0,192.0,0.0,0.0,95.0,95.0,32.0,32.0,buildRequestBlock[ pushString():8 get():2 setHead():2 isEmpty():2 getServiceName():1 getParameterTypes():1 getOption():1 getSerializeType():1 addParameter():1 setServiceGroup():1 getServiceVersion():1 getServiceGroup():1 setServiceName():1 setSerializeType():1 getParameterValues():1 isMessage():1 getTargetMethod():1 getOptionKeys():1 setClientTimeout():1 setServiceVersion():1 setTargetMethod():1 pushBytes():1 size():1 addOption():1 setRequestID():1 getClientTimeout():1 getRequestID():1 ] wirteRequestBlock[ encode():1 ] buildResponseInfo[ encode():1 addOptionMap():1 setRequestID():1 setSerializeType():1 getSerializeCoder():1 getStatus():1 setReturnData():1 getSerializeType():1 getData():1 getRequestID():1 setStatus():1 ] CodecAdapterForV1[  ] buildResponseStatus[ addOption():1 setRequestID():1 isNotBlank():1 setStatus():1 ] readRequestInfo[ readPool():9 fromCache():8 setMessage():2 getHead():2 getTargetMethod():1 setClientTimeout():1 setServiceVersion():1 setTargetMethod():1 getServiceName():1 decode():1 getSerializeType():1 addParameter():1 getServiceVersion():1 setServiceGroup():1 addOption():1 setRequestID():1 getServiceGroup():1 setServiceName():1 getParameters():1 setSerializeType():1 getOptions():1 getClientTimeout():1 getRequestID():1 ] pushBytes[ pushData():2 ] buildResponseBlock[ pushString():3 getOptionKeys():1 setHead():1 getOption():1 getStatus():1 setReturnData():1 getSerializeType():1 setStatus():1 addOption():1 setRequestID():1 pushData():1 setSerializeType():1 getReturnData():1 getRequestID():1 ] wirteResponseBlock[ encode():1 ] readResponseInfo[ readPool():4 fromCache():3 decode():1 getStatus():1 setReturnData():1 getSerializeType():1 setStatus():1 addOption():1 setRequestID():1 setSerializeType():1 getOptions():1 getReturnData():1 getRequestID():1 ] pushString[ pushData():2 fromCache():1 ] buildRequestInfo[ encode():1 addOptionMap():1 getName():1 getBindName():1 getParameterTypes():1 getMethod():1 getSerializeCoder():1 getSerializeType():1 addParameter():1 setServiceGroup():1 getBindInfo():1 setServiceName():1 getTimeout():1 setSerializeType():1 isMessage():1 getParameterObject():1 toAsmType():1 setClientTimeout():1 getBindGroup():1 setServiceVersion():1 setTargetMethod():1 getBindVersion():1 setMessage():1 setRequestID():1 getRequestID():1 ] ,"rsf-core/src/main/java/net/hasor/rsf/transform/codec/v1/CodecAdapterForV1.java: [Add Method Annotation(18), Remove Method Modifier(8), Move Method(6), Rename Parameter(6), Move And Rename Method(5), Localize Parameter(4), Add Parameter(4), Add Thrown Exception Type(4), Remove Parameter(4), Merge Parameter(2), Change Thrown Exception Type(2), Change Method Access Modifier(1)]"
net.hasor.rsf.console.ConsoleRsfPlugin,class,304 -> 307,a9f5ff70816cae24280e90e9124d78670b09b990 -> 31be2d0adea7e45f51e202a9fb23fb087da66b12,0,0,0,25,26.0,20.0,1.0,1.0,1.0,0.0,64.0,72.0,0.0,0.0,24.0,31.0,6.0,11.0,loadRsf[  ] ,rsf-core/src/main/java/net/hasor/rsf/console/ConsoleRsfPlugin.java: [Move Method(1)]
net.hasor.rsf.center.core.startup.StartAppModule,class,184 -> 185,b84a3f37d5ef4908ef16c132583092685af762ee -> 02f4edb486f75c4d665e601c16b3cf12fb560b71,10,5,5,11,11.0,9.0,1.0,1.0,8.0,8.0,29.0,30.0,0.0,0.0,14.0,16.0,6.0,6.0,onStart[ info():3 getChildren():2 getXmlNode():1 size():1 trim():1 getSettings():1 getText():1 loadSQL():1 getEnvironment():1 findBindingBean():1 error():1 ] loadController[ getEnvironment():4 getString():4 findClass():3 createDataSource():2 bindType():2 build():2 getResourceAsReader():2 configDataSource():2 loadType():1 isAnnotationPresent():1 getSettings():1 isAssignableFrom():1 getAnnotation():1 value():1 apiBinder():1 ] createDataSource[ setPassword():1 setMaxPoolSize():1 setTestConnectionOnCheckin():1 setMaxIdleTime():1 setInitialPoolSize():1 setDriverClass():1 setAcquireRetryAttempts():1 setCheckoutTimeout():1 setIdleConnectionTestPeriod():1 setAcquireRetryDelay():1 setJdbcUrl():1 setAcquireIncrement():1 setUser():1 info():1 ] configDataSource[ nameWith():3 bindType():3 toProvider():2 installModule():1 toInstance():1 ] ,"rsf-center/src/main/java/net/hasor/rsf/center/core/startup/StartAppModule.java: [Remove Method Annotation(3), Move Method(2)]"
test.net.hasor.rsf._04_protocol.TransformTest,class,134 -> 135,03f9fa2db92226b64f9b41efd9d1df969e17af8a -> 0c99e33cf867439a42cb7ea57b8b0f48b2aeb722,6,3,3,10,14.0,13.0,1.0,1.0,3.0,3.0,42.0,40.0,0.0,0.0,25.0,24.0,3.0,3.0,request[ println():1 read():1 getServiceName():1 refresh():1 createFactory():1 getSerializeCoder():1 write():1 ] read[ writeBytes():1 fillFrom():1 heapBuffer():1 ] write[ encode():4 addParameter():4 addOption():3 setClientTimeout():1 buildBlock():1 setServiceVersion():1 setTargetMethod():1 heapBuffer():1 setServiceGroup():1 setRequestID():1 setReceiveTime():1 array():1 setServiceName():1 fillTo():1 currentTimeMillis():1 setSerializeType():1 ] ,"rsf-core/src/test/java/test/net/hasor/rsf/_04_protocol/TransformTest.java: [Extract Method(9), Rename Variable(2), Add Method Annotation(2), Change Thrown Exception Type(2), Rename Class(1)]"
net.hasor.rsf.rpc.caller.remote.RemoteRsfCallerProcessing,class,173 -> 192,a266e6cc4aa026282a3a4b53c6963a2e126db924 -> ebae751207f2dad1847fbfc921b91293a3efefee,8,3,5,29,7.0,7.0,2.0,2.0,0.0,1.0,11.0,9.0,0.0,0.0,5.0,6.0,2.0,2.0,validateTimeout[ getClientTimeout():2 getSettings():1 getDefaultTimeout():1 getContext():1 ] RemoteRsfCallerProcessing[  ] run[ error():4 getBindID():2 getContainer():2 getMessage():2 buildStatus():2 receiveResponse():2 getRequestID():2 getSenderListener():2 getServiceName():1 failed():1 getReceiveTime():1 validateTimeout():1 getServiceVersion():1 getServiceGroup():1 doFilter():1 currentTimeMillis():1 sendStatus():1 getClientTimeout():1 getFilterProviders():1 getRsfBindInfo():1 ] ,"rsf-core/src/main/java/net/hasor/rsf/rpc/caller/remote/RemoteRsfCallerProcessing.java: [Change Variable Type(26), Rename Variable(26), Pull Up Method(3), Pull Up Attribute(3), Extract Superclass(2)]"
net.hasor.rsf.rpc.client.RsfClientWrappe,class,110 -> 141,12b06a391c9bd13060a21a480719be62c90acb15 -> 8d89fc89a7e2ea7ea4568f926bbcab47998ddeaa,0,0,0,24,16.0,16.0,1.0,1.0,32.0,32.0,121.0,121.0,0.0,0.0,26.0,24.0,29.0,29.0,doCallBackRequest[ getBindType():1 getServiceMethod():1 getRequestManager():1 sendRequest():1 ] validateTimeout[ getSettings():1 getDefaultTimeout():1 ] syncInvoke[ validateTimeout():1 getBindType():1 getResponseData():1 get():1 getServiceMethod():1 getRequestManager():1 getClientTimeout():1 sendRequest():1 ] getRemoteByID[ getBindType():1 wrapper():1 getService():1 ] doCallBackInvoke[ doCallBackRequest():1 ] RsfClientWrappe[ getBindCenter():1 ] wrapper[ get():2 wrapper():2 getService():2 toClass():1 getBindID():1 addDelegate():1 getMessage():1 newInstance():1 isInterface():1 putIfAbsent():1 ] getRemoteByName[ getBindType():1 wrapper():1 getServiceByName():1 ] wrapperByID[ wrapper():1 getService():1 ] asyncInvoke[ getBindType():1 getServiceMethod():1 getRequestManager():1 sendRequest():1 ] wrapperByName[ wrapper():1 getServiceByName():1 ] getRemote[ getBindType():1 wrapper():1 getService():1 getRemote():1 ] ,rsf-core/src/main/java/net/hasor/rsf/rpc/client/RsfClientWrappe.java: [Extract Method(24)]
