Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
org.swellrt.beta.model.wave.mutable.SWaveNodeManager,setPublic,1465 -> 1578,71039d8b18c3d800208e6c8d5c486099fa8590a4 -> 90aa180a885baa853e9b9ef1e8506d569c503626,"['https://github.com/SwellRT/swellrt/commit/71039d8b18c3d800208e6c8d5c486099fa8590a4', 'https://github.com/SwellRT/swellrt/commit/90aa180a885baa853e9b9ef1e8506d569c503626', 'https://github.com/SwellRT/swellrt/commit/b2e5eaa298ddb6f487cbcc989f944bc3bef3f60e', 'https://github.com/SwellRT/swellrt/commit/38738deab59fa4d0ffca63b4dc5fa00020a3251b']",0,0,0,11,0.0,1.0,8.0,11.0,3.0,3.0,3.0,2.0,3,"wave/src/main/java/org/swellrt/beta/model/wave/mutable/SWaveNodeManager.java: [Move Class(4), Change Attribute Type(2), Move Method(1)]"
org.swellrt.beta.model.local.SObjectLocal,getParticipants,1167 -> 1605,f69768cf9daac363bb7cf6e36b484e1be86b996e -> 6554ff055416ccc5594e1713a572c466082f0db3,"['https://github.com/SwellRT/swellrt/commit/f69768cf9daac363bb7cf6e36b484e1be86b996e', 'https://github.com/SwellRT/swellrt/commit/6554ff055416ccc5594e1713a572c466082f0db3', 'https://github.com/SwellRT/swellrt/commit/17f9e37762fcdc0868f358aca61eebde2858d0c8', 'https://github.com/SwellRT/swellrt/commit/d836c85c54d38f8409c43a1fe0a97535c92511ad']",0,0,0,29,0.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,2,wave/src/main/java/org/swellrt/beta/model/local/SObjectLocal.java: [Move Method(2)]
org.waveprotocol.box.server.rpc.AttachmentServlet,doPost,112 -> 419,79ce1d7035c21287414e5df06ec0372759fb1120 -> 8036976061469f48c830024f17f1a3b0bb8dbad7,"['https://github.com/SwellRT/swellrt/commit/950f28a69b5699892b5b16f7eff5bee5aa8cd022', 'https://github.com/SwellRT/swellrt/commit/79ce1d7035c21287414e5df06ec0372759fb1120', 'https://github.com/SwellRT/swellrt/commit/8036976061469f48c830024f17f1a3b0bb8dbad7', 'https://github.com/SwellRT/swellrt/commit/44cf0edb98330d3e74660773db6d5068ba9ed283', 'https://github.com/SwellRT/swellrt/commit/fc70bb9016233f8232466afcc7ad7acd4e5e1e0b', 'https://github.com/SwellRT/swellrt/commit/a54a5e56f0c3894c13b3dbc7b8658cd03b4dceca', 'https://github.com/SwellRT/swellrt/commit/1a4a7ff5d7067437f54de741f4c09fa59429c14d', 'https://github.com/SwellRT/swellrt/commit/2cb2455918833d90a2bc3e0894281b0d9b8dd5c8', 'https://github.com/SwellRT/swellrt/commit/bdb8f24e1cbcb3e5b1c98199c86632cabd2c8d84', 'https://github.com/SwellRT/swellrt/commit/12be42c6a5f57cdae6911f766cff296e5b9b37d0', 'https://github.com/SwellRT/swellrt/commit/7d8609e77cf5b623bc056efa94f27adaaa57e215', 'https://github.com/SwellRT/swellrt/commit/123668285e4194e4e03edc7fb96d2570b9421618', 'https://github.com/SwellRT/swellrt/commit/603eb520ce9f09ba040d048141da2ba1f86273c2', 'https://github.com/SwellRT/swellrt/commit/81a0b1c6cbaf12ebbd942c9a19316e4a582a519f', 'https://github.com/SwellRT/swellrt/commit/4d2bbc7ed5d3af9005393fd5355faa9b953a8773', 'https://github.com/SwellRT/swellrt/commit/c6d3ae654a9cc206c0bfd2daad9f6489eacaffd8', 'https://github.com/SwellRT/swellrt/commit/b4493a605fb2d0c72467a3e66c7ef874b8e450db', 'https://github.com/SwellRT/swellrt/commit/b3a1f0f2486a360c73ea251cfc48bd1020ed42df', 'https://github.com/SwellRT/swellrt/commit/76fb8abc17b0bb9fe581ab3a6bb95baf7efedf29', 'https://github.com/SwellRT/swellrt/commit/5605baaf7c4cfcc25fc73d326a8ca19683589a83', 'https://github.com/SwellRT/swellrt/commit/76b0b9a78535d4efba23e5eb0382167449de0ba2', 'https://github.com/SwellRT/swellrt/commit/f04cae78b65b6b82c79343230baac29161071d2f', 'https://github.com/SwellRT/swellrt/commit/f889e9e49a13b794ef524ae0bbed71cf8d4b6b5f', 'https://github.com/SwellRT/swellrt/commit/0b116e914e15790d65cc2c57c5633bf3d679c7b2', 'https://github.com/SwellRT/swellrt/commit/2d5773686cce84bc3d57fb557a34329b32b8bf4c', 'https://github.com/SwellRT/swellrt/commit/9cadac52de18ea37028539d29bc006eac6e854cf', 'https://github.com/SwellRT/swellrt/commit/e650c2d8614d929fbeef9c3bf4d378e1c31fd43c', 'https://github.com/SwellRT/swellrt/commit/dbe17e57121ebf09b083ac822976c9f623ff3ccd', 'https://github.com/SwellRT/swellrt/commit/2c075c6474ac36c7b3d7b92780da13e12cf0c89c', 'https://github.com/SwellRT/swellrt/commit/6d3a34713ae237da677c3a182aa769b9f07a9209', 'https://github.com/SwellRT/swellrt/commit/02f2dd5e6249a89e2fd8c877c7bbb1b1845b487a', 'https://github.com/SwellRT/swellrt/commit/a49c7a1d55958930833a73d4b97a306db2768aa2', 'https://github.com/SwellRT/swellrt/commit/cbb22f80a9b1e0502eb0e810f7e997cd0c3feea7', 'https://github.com/SwellRT/swellrt/commit/fcf642f6d071151a620da6e20364eea4bfda9868', 'https://github.com/SwellRT/swellrt/commit/1fdb15291b97cbe28c82080d8dd418d673835420', 'https://github.com/SwellRT/swellrt/commit/4d16a62653c7f7ffd00a2bedfb8d6424b845eb2d', 'https://github.com/SwellRT/swellrt/commit/94991bfdbf1e0cdf4b83b073b9c12e3f68499725', 'https://github.com/SwellRT/swellrt/commit/c1d7aba3a2f0703b9c62b0dafa6620d894816a0e', 'https://github.com/SwellRT/swellrt/commit/00a550a709215c4f074639064e1d33b28614cfee', 'https://github.com/SwellRT/swellrt/commit/4d25c430ce4e468e23a2735dbc52c51304e1d3b5', 'https://github.com/SwellRT/swellrt/commit/fc5ec48bd55091942c0dbb6f14a16a93650ebc26', 'https://github.com/SwellRT/swellrt/commit/e6562ee13797969b03cce3d543ae50e94a4573c0', 'https://github.com/SwellRT/swellrt/commit/9d0cc565c690b1dea63df394def5ddb9bed11a1e', 'https://github.com/SwellRT/swellrt/commit/407074736d0db6f741504601379ac750bfbaea23', 'https://github.com/SwellRT/swellrt/commit/6a8965d19a1c718cd3fce4a33fd6eda1aa49e24a', 'https://github.com/SwellRT/swellrt/commit/7fc4e8ed187934f4de01e5e3460133fa43c2b4a7', 'https://github.com/SwellRT/swellrt/commit/db58eb0fe27978cdd981d65d6169aa8a2748846b', 'https://github.com/SwellRT/swellrt/commit/22c0dcd9d5178b7e28061ea810b1939ba7546011', 'https://github.com/SwellRT/swellrt/commit/3457ba6802aa108ba858c2fc3e96fb5527622024', 'https://github.com/SwellRT/swellrt/commit/afda906272c36b1c581be414dcf774e75ddbb319', 'https://github.com/SwellRT/swellrt/commit/17d19582783331d858477ad8709423c61b653c62', 'https://github.com/SwellRT/swellrt/commit/2895b597d4c470029f53acfb08845c0e23aad2d8', 'https://github.com/SwellRT/swellrt/commit/cb29226873316b5196fc2905bf5addf8b42b8a44', 'https://github.com/SwellRT/swellrt/commit/17206cda28e5c7a9384ef19cab1eee73c575e952', 'https://github.com/SwellRT/swellrt/commit/8519687abe7e2308d31590c232442f54d7e0d124', 'https://github.com/SwellRT/swellrt/commit/74854a9c31defe9fdc44cf8fb0ebd69e00de9e3c', 'https://github.com/SwellRT/swellrt/commit/4cab3e22c2e563fc436c753cc4d2da44894820b3', 'https://github.com/SwellRT/swellrt/commit/404966a34796f29fdc92a807cd00308d741e05d2', 'https://github.com/SwellRT/swellrt/commit/b781b83fcd7f238af4262ad7eee9301eed19da19', 'https://github.com/SwellRT/swellrt/commit/1310ad8b8529a633f4752ebcd916c7c212c4b57a', 'https://github.com/SwellRT/swellrt/commit/be581769c6d058c8fe79dc9a31d400d3e8fdcb37', 'https://github.com/SwellRT/swellrt/commit/477a35cf6891a1fea90bf63f36d21f4e9eaf73a4', 'https://github.com/SwellRT/swellrt/commit/f47fde6504b10e132f622180e2b694737e8a197d', 'https://github.com/SwellRT/swellrt/commit/5798ccf3abc99012d47d6cd0e862ae3efb61e4cd', 'https://github.com/SwellRT/swellrt/commit/6a0e55c858fb80821cfb44f9e1169d8744b86d6d', 'https://github.com/SwellRT/swellrt/commit/1044061ff17e1e8c284e36d7f12a1524ec25520d', 'https://github.com/SwellRT/swellrt/commit/a154228a3cf05350a3b5d01d74efb56c8a2a787f', 'https://github.com/SwellRT/swellrt/commit/e49b1af4d54b1b8efdaeca333c9889d46b65fd30', 'https://github.com/SwellRT/swellrt/commit/3bb2592671faf78ed6e7274baaa7bc5cf1233a89', 'https://github.com/SwellRT/swellrt/commit/eaa5955a422ca52ea87d784c3783937a3939082b', 'https://github.com/SwellRT/swellrt/commit/0796b7a6d12bb6713b842f5109351c333fcdea24', 'https://github.com/SwellRT/swellrt/commit/3a6bd23517adbdba38e2de14b60937cc5118c5d3', 'https://github.com/SwellRT/swellrt/commit/241be2082a0c97f7388b579c82827c909eea5399', 'https://github.com/SwellRT/swellrt/commit/58cfd5fa7118e3d582cec331359a32c4dfc5698f', 'https://github.com/SwellRT/swellrt/commit/7721329481969843ff1196032e9f60ccda4e2b90', 'https://github.com/SwellRT/swellrt/commit/dce7cbc41ea889d8560e4af1df0ca2740f30192b', 'https://github.com/SwellRT/swellrt/commit/f2fe99a072367d8b16a69954606e456de6e45613', 'https://github.com/SwellRT/swellrt/commit/f305629f60c19b728a7292143deffc5e947d13dd', 'https://github.com/SwellRT/swellrt/commit/991779f45c072d0c2bcc1785208ab3a7426b1eef', 'https://github.com/SwellRT/swellrt/commit/8be90459afd0167467894a68b7fc4a5a52f8e91f', 'https://github.com/SwellRT/swellrt/commit/ce7eacac056307a158e55867db713b708c9339be', 'https://github.com/SwellRT/swellrt/commit/36a4771e20a495587d0a115712b2da5922cc9e19', 'https://github.com/SwellRT/swellrt/commit/9f2bb1ea8929acd0b44cfc4fbb70a58d899140ef', 'https://github.com/SwellRT/swellrt/commit/d69fd0355a58ca21f9ac554250460e28a722c08c', 'https://github.com/SwellRT/swellrt/commit/bd1cd37fbb0f96d0f9c0ed89a93b2ca144768538']",0,0,0,77,13.0,13.0,58.0,57.0,23.0,23.0,11.0,12.0,22,"src/org/waveprotocol/box/server/rpc/AttachmentServlet.java: [Rename Parameter(12), Change Variable Type(8), Extract Method(6), Change Return Type(4), Change Parameter Type(4), Inline Variable(3), Add Parameter(3), Extract Class(3), Rename Attribute(2), Change Attribute Type(2), Move Attribute(1), Change Method Access Modifier(1), Move Method(1)]"
org.swellrt.model.generic.FileType,attach,876 -> 890,611db2c33a792c2eb257ad8b82be0fc18f3f6d17 -> 17d19582783331d858477ad8709423c61b653c62,"['https://github.com/SwellRT/swellrt/commit/37dcd929d9a82b71943cb6c3b12b8b50781dc66e', 'https://github.com/SwellRT/swellrt/commit/611db2c33a792c2eb257ad8b82be0fc18f3f6d17', 'https://github.com/SwellRT/swellrt/commit/17d19582783331d858477ad8709423c61b653c62', 'https://github.com/SwellRT/swellrt/commit/2895b597d4c470029f53acfb08845c0e23aad2d8', 'https://github.com/SwellRT/swellrt/commit/08c1c5c3f2491c97d8704879b715d74d3542a809', 'https://github.com/SwellRT/swellrt/commit/b781b83fcd7f238af4262ad7eee9301eed19da19', 'https://github.com/SwellRT/swellrt/commit/be581769c6d058c8fe79dc9a31d400d3e8fdcb37', 'https://github.com/SwellRT/swellrt/commit/9f2bb1ea8929acd0b44cfc4fbb70a58d899140ef']",0,0,0,7,3.0,2.0,8.0,8.0,7.0,7.0,1.0,1.0,7,"src/org/swellrt/model/generic/FileType.java: [Extract Method(20), Change Variable Type(4), Rename Parameter(4), Add Parameter(3), Change Attribute Type(2)]"
org.waveprotocol.box.server.authentication.SessionManagerImpl,login,1395 -> 1407,2805e3349c5406d95077fa7a0213fcff9d36d101 -> 27e94cbaa8f59d470d285318b5560ef57b0b9683,"['https://github.com/SwellRT/swellrt/commit/87f56dc522aaca7d9dc16978755c1622e6e61a41', 'https://github.com/SwellRT/swellrt/commit/2805e3349c5406d95077fa7a0213fcff9d36d101', 'https://github.com/SwellRT/swellrt/commit/27e94cbaa8f59d470d285318b5560ef57b0b9683']",0,0,0,3,2.0,2.0,5.0,5.0,3.0,2.0,1.0,1.0,3,"wave/src/main/java/org/waveprotocol/box/server/authentication/SessionManagerImpl.java: [Extract Method(80), Rename Variable(32), Change Return Type(14), Add Parameter(11), Change Parameter Type(8), Rename Parameter(8), Localize Parameter(8), Rename Method(6), Inline Method(6), Remove Parameter(6), Inline Variable(5), Change Variable Type(4), Add Variable Modifier(4), Move And Inline Method(4), Remove Method Annotation(3), Change Method Access Modifier(3), Add Method Modifier(2), Rename Attribute(2), Push Down Method(1)]"
org.swellrt.client.editor.TextEditor,getAnnotationSet,1071 -> 1208,ff06f5eb6ef3ef4d3d21967c40afac3e16470e6f -> 9f2bb1ea8929acd0b44cfc4fbb70a58d899140ef,"['https://github.com/SwellRT/swellrt/commit/f3dbb137bd876ddd704f0f85dd4448a40f24e5f7', 'https://github.com/SwellRT/swellrt/commit/019668367f26c5baead57ef70cf878bf4852930f', 'https://github.com/SwellRT/swellrt/commit/ff06f5eb6ef3ef4d3d21967c40afac3e16470e6f', 'https://github.com/SwellRT/swellrt/commit/9f2bb1ea8929acd0b44cfc4fbb70a58d899140ef']",0,0,0,32,10.0,9.0,26.0,26.0,16.0,16.0,4.0,4.0,14,"wave/src/main/java/org/swellrt/client/editor/TextEditor.java: [Move And Inline Method(42), Extract Method(17), Extract And Move Method(10), Rename Parameter(8), Change Parameter Type(2), Remove Parameter(1), Change Method Access Modifier(1), Remove Method Modifier(1), Move And Rename Method(1)]"
org.swellrt.server.box.servlet.AuthenticationService,doDelete,1091 -> 1395,21d9e82570bb3a16422da1aef2153c5a4c273c37 -> 2805e3349c5406d95077fa7a0213fcff9d36d101,"['https://github.com/SwellRT/swellrt/commit/87f56dc522aaca7d9dc16978755c1622e6e61a41', 'https://github.com/SwellRT/swellrt/commit/21d9e82570bb3a16422da1aef2153c5a4c273c37', 'https://github.com/SwellRT/swellrt/commit/2805e3349c5406d95077fa7a0213fcff9d36d101']",0,0,0,42,7.0,6.0,28.0,24.0,8.0,7.0,6.0,6.0,7,"wave/src/main/java/org/swellrt/server/box/servlet/AuthenticationService.java: [Extract Method(39), Invert Condition(4)]"
org.swellrt.beta.model.remote.SMapRemote,put,1191 -> 1230,ba7f41e1ed18fb645fa5dceb9d99e696ecfcaef7 -> 7fd190be00cc39f7c2606aaaf79d7394cf7e9632,"['https://github.com/SwellRT/swellrt/commit/f69768cf9daac363bb7cf6e36b484e1be86b996e', 'https://github.com/SwellRT/swellrt/commit/ba7f41e1ed18fb645fa5dceb9d99e696ecfcaef7', 'https://github.com/SwellRT/swellrt/commit/7fd190be00cc39f7c2606aaaf79d7394cf7e9632']",0,0,0,17,4.0,4.0,5.0,4.0,3.0,2.0,1.0,1.0,2,"wave/src/main/java/org/swellrt/beta/model/remote/SMapRemote.java: [Add Thrown Exception Type(21), Change Thrown Exception Type(4), Add Method Annotation(3), Extract Superclass(2)]"
org.waveprotocol.box.stat.Timing,enterIfOutOfScope,275 -> 1484,5abfce6c7059e7abdb17c847687e9c1f6a93b689 -> aeebc376ce07b6ce3b56bb3dc9a490e90e8dda2f,"['https://github.com/SwellRT/swellrt/commit/5abfce6c7059e7abdb17c847687e9c1f6a93b689', 'https://github.com/SwellRT/swellrt/commit/aeebc376ce07b6ce3b56bb3dc9a490e90e8dda2f', 'https://github.com/SwellRT/swellrt/commit/3d671c102e320f87729e10441dcda649b67a19e4', 'https://github.com/SwellRT/swellrt/commit/b2e5eaa298ddb6f487cbcc989f944bc3bef3f60e', 'https://github.com/SwellRT/swellrt/commit/38738deab59fa4d0ffca63b4dc5fa00020a3251b']",0,0,0,10,1.0,0.0,5.0,5.0,2.0,2.0,2.0,2.0,2,"src/org/waveprotocol/box/stat/Timing.java: [Rename Parameter(4), Move And Inline Method(2), Add Method Modifier(1), Move Method(1)]"
org.waveprotocol.box.stat.Timing,getScopeValue,275 -> 1484,5abfce6c7059e7abdb17c847687e9c1f6a93b689 -> aeebc376ce07b6ce3b56bb3dc9a490e90e8dda2f,"['https://github.com/SwellRT/swellrt/commit/5abfce6c7059e7abdb17c847687e9c1f6a93b689', 'https://github.com/SwellRT/swellrt/commit/aeebc376ce07b6ce3b56bb3dc9a490e90e8dda2f', 'https://github.com/SwellRT/swellrt/commit/3d671c102e320f87729e10441dcda649b67a19e4', 'https://github.com/SwellRT/swellrt/commit/b2e5eaa298ddb6f487cbcc989f944bc3bef3f60e', 'https://github.com/SwellRT/swellrt/commit/38738deab59fa4d0ffca63b4dc5fa00020a3251b']",0,0,0,10,3.0,2.0,7.0,7.0,2.0,2.0,2.0,2.0,2,"src/org/waveprotocol/box/stat/Timing.java: [Rename Parameter(4), Move And Inline Method(2), Add Method Modifier(1), Move Method(1)]"
org.swellrt.beta.model.remote.SObjectRemote,check,1191 -> 1208,ba7f41e1ed18fb645fa5dceb9d99e696ecfcaef7 -> 9f2bb1ea8929acd0b44cfc4fbb70a58d899140ef,"['https://github.com/SwellRT/swellrt/commit/ba7f41e1ed18fb645fa5dceb9d99e696ecfcaef7', 'https://github.com/SwellRT/swellrt/commit/9f2bb1ea8929acd0b44cfc4fbb70a58d899140ef']",0,0,0,32,1.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,1,"wave/src/test/java/org/swellrt/beta/model/remote/SObjectRemoteTest.java: [Change Thrown Exception Type(6), Add Thrown Exception Type(2), Move And Rename Class(1), Move Package(1)] wave/src/main/java/org/swellrt/beta/model/remote/SObjectRemote.java: [Add Thrown Exception Type(27), Add Parameter(6), Change Thrown Exception Type(4), Add Method Annotation(3), Rename Method(2), Change Method Access Modifier(2), Extract Superclass(2)]"
org.swellrt.server.box.servlet.AccountService,getParticipantAccount,1168 -> 1170,d9186eda0e9b727e3f87df0d199c488e2539c360 -> 12eb6e29491afe5c4878ede14383d03c7fe51e17,"['https://github.com/SwellRT/swellrt/commit/68396460de5b6f1ca57598c4094b4a637bd88dc6', 'https://github.com/SwellRT/swellrt/commit/841d2a4315041fe0d4c5361917b459a4d5f12a8d', 'https://github.com/SwellRT/swellrt/commit/84cad4bf34eefa5730d2b57407d889a46eec32f3', 'https://github.com/SwellRT/swellrt/commit/3509c4e0a14fd9e1d8348432af3880d5d01a82af', 'https://github.com/SwellRT/swellrt/commit/2fe6c610b253e6979e98253a3e2c256ef9de037b', 'https://github.com/SwellRT/swellrt/commit/723447b742caa55022bb3deb9e1e694914ab1d11', 'https://github.com/SwellRT/swellrt/commit/594e480d2420d3fbade28c10981de10f6819bb82', 'https://github.com/SwellRT/swellrt/commit/00a550a709215c4f074639064e1d33b28614cfee', 'https://github.com/SwellRT/swellrt/commit/57484789a24d7440d0b585232a08d6157e32b61a', 'https://github.com/SwellRT/swellrt/commit/7fc4e8ed187934f4de01e5e3460133fa43c2b4a7', 'https://github.com/SwellRT/swellrt/commit/db58eb0fe27978cdd981d65d6169aa8a2748846b', 'https://github.com/SwellRT/swellrt/commit/17d19582783331d858477ad8709423c61b653c62', 'https://github.com/SwellRT/swellrt/commit/2895b597d4c470029f53acfb08845c0e23aad2d8', 'https://github.com/SwellRT/swellrt/commit/08c1c5c3f2491c97d8704879b715d74d3542a809', 'https://github.com/SwellRT/swellrt/commit/b781b83fcd7f238af4262ad7eee9301eed19da19', 'https://github.com/SwellRT/swellrt/commit/be581769c6d058c8fe79dc9a31d400d3e8fdcb37', 'https://github.com/SwellRT/swellrt/commit/af551409c82cb8fbccee90d2225734bd295eac0c', 'https://github.com/SwellRT/swellrt/commit/0b3877e2be764070dcbd23932812bd8e30fcb6e5', 'https://github.com/SwellRT/swellrt/commit/c7c1f450dff596c77f3741241406203539f0e239', 'https://github.com/SwellRT/swellrt/commit/a5862981b2c37cf2e82a5688e9a947270d38c8e8', 'https://github.com/SwellRT/swellrt/commit/31a0beae28bee0767fce85bc6676c49f60d6f788', 'https://github.com/SwellRT/swellrt/commit/be89ea32735f512e6cfdb4c475e5c6656551c283', 'https://github.com/SwellRT/swellrt/commit/d4733af5f1c6dd7b9fd297f9d9b0f5fefa443338', 'https://github.com/SwellRT/swellrt/commit/882afaa301101eb062130e04d318d730c7843c69', 'https://github.com/SwellRT/swellrt/commit/aea8edda81d699652d42e9292ffc8cebf459cd30', 'https://github.com/SwellRT/swellrt/commit/e0febf8bcfe9cf9b9be49d7b02ac3b56df62af9c', 'https://github.com/SwellRT/swellrt/commit/2807055d3f06b32dcbb6eb0d149034b09598b210', 'https://github.com/SwellRT/swellrt/commit/d9186eda0e9b727e3f87df0d199c488e2539c360', 'https://github.com/SwellRT/swellrt/commit/12eb6e29491afe5c4878ede14383d03c7fe51e17', 'https://github.com/SwellRT/swellrt/commit/bcce1dd46d05a442bd5cfd7877d966064efc2e7a', 'https://github.com/SwellRT/swellrt/commit/f2508447c5ab3fb40a7e4caec01477ab4d627438']",0,0,0,3,8.0,9.0,29.0,25.0,12.0,10.0,6.0,5.0,14,"src/org/swellrt/server/box/servlet/AccountService.java: [Extract Method(256), Extract And Move Method(5), Change Attribute Access Modifier(1), Pull Up Attribute(1)] test/org/swellrt/server/box/servlet/AccountServiceTest.java: [Extract Method(29)]"
org.waveprotocol.box.webclient.client.atmosphere.WaveSocketAtmosphereCallback,onError,838 -> 941,1a75510b9d55ba76ce18b15c90481799b46bb99e -> 08c1c5c3f2491c97d8704879b715d74d3542a809,"['https://github.com/SwellRT/swellrt/commit/1a75510b9d55ba76ce18b15c90481799b46bb99e', 'https://github.com/SwellRT/swellrt/commit/08c1c5c3f2491c97d8704879b715d74d3542a809', 'https://github.com/SwellRT/swellrt/commit/404966a34796f29fdc92a807cd00308d741e05d2']",0,0,0,4,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"src/org/waveprotocol/box/webclient/client/atmosphere/WaveSocketAtmosphereCallback.java: [Extract Method(24), Extract And Move Method(4)]"
org.swellrt.beta.model.SNode,delete,1447 -> 1464,07eebe1ae29cdf68c5b2170aa07c6f999886bca0 -> b8b34aeaac851c8df71182eec40231f071e4dadf,"['https://github.com/SwellRT/swellrt/commit/07eebe1ae29cdf68c5b2170aa07c6f999886bca0', 'https://github.com/SwellRT/swellrt/commit/b8b34aeaac851c8df71182eec40231f071e4dadf', 'https://github.com/SwellRT/swellrt/commit/aeebc376ce07b6ce3b56bb3dc9a490e90e8dda2f', 'https://github.com/SwellRT/swellrt/commit/35e18a85735ae7ed6738ffe60d6d81b083dd7a2d', 'https://github.com/SwellRT/swellrt/commit/fbd729ad4f4a537086c8522e11ff2dee3daa8262']",0,0,0,31,5.0,3.0,28.0,28.0,6.0,6.0,6.0,6.0,6,"wave/src/main/java/org/swellrt/beta/model/SNode.java: [Add Parameter(3), Rename Parameter(2), Rename Method(2), Remove Thrown Exception Type(1), Pull Up Method(1)]"
org.waveprotocol.box.stat.Timing,enterScope,275 -> 1484,5abfce6c7059e7abdb17c847687e9c1f6a93b689 -> aeebc376ce07b6ce3b56bb3dc9a490e90e8dda2f,"['https://github.com/SwellRT/swellrt/commit/d8896276557c9387df97f76b2fab4331207017d6', 'https://github.com/SwellRT/swellrt/commit/5abfce6c7059e7abdb17c847687e9c1f6a93b689', 'https://github.com/SwellRT/swellrt/commit/aeebc376ce07b6ce3b56bb3dc9a490e90e8dda2f', 'https://github.com/SwellRT/swellrt/commit/3d671c102e320f87729e10441dcda649b67a19e4', 'https://github.com/SwellRT/swellrt/commit/b2e5eaa298ddb6f487cbcc989f944bc3bef3f60e', 'https://github.com/SwellRT/swellrt/commit/38738deab59fa4d0ffca63b4dc5fa00020a3251b']",0,0,0,10,1.0,0.0,5.0,5.0,1.0,1.0,3.0,3.0,1,"src/org/waveprotocol/box/stat/Timing.java: [Rename Parameter(4), Move And Inline Method(2), Add Method Modifier(1), Move Method(1)]"
org.swellrt.beta.client.wave.StagedWaveLoader,destroy,1541 -> 1656,122a50271f38d20512421fd8e3ea187de2c7fae5 -> ef1a30396cb95466c2e37674c0d7eabf60986422,"['https://github.com/SwellRT/swellrt/commit/122a50271f38d20512421fd8e3ea187de2c7fae5', 'https://github.com/SwellRT/swellrt/commit/ef1a30396cb95466c2e37674c0d7eabf60986422']",0,0,0,6,2.0,0.0,16.0,16.0,2.0,2.0,5.0,5.0,2,"wave/src/main/java/org/swellrt/beta/client/wave/StagedWaveLoader.java: [Extract Subclass(32), Add Method Annotation(16), Push Down Attribute(16), Push Down Method(15), Move And Rename Method(1)]"
org.waveprotocol.box.server.persistence.mongodb.MongoDbStore,getAccountByEmail,948 -> 1458,1f2e6222d07508ed7f590a0da74cf7226a185b6b -> 2f200cd47a1652abce5262efb180facbd5ad7b23,"['https://github.com/SwellRT/swellrt/commit/0ae639c860fed41d7ac9e240c538b219d99487b8', 'https://github.com/SwellRT/swellrt/commit/404966a34796f29fdc92a807cd00308d741e05d2', 'https://github.com/SwellRT/swellrt/commit/b781b83fcd7f238af4262ad7eee9301eed19da19', 'https://github.com/SwellRT/swellrt/commit/1f2e6222d07508ed7f590a0da74cf7226a185b6b', 'https://github.com/SwellRT/swellrt/commit/2f200cd47a1652abce5262efb180facbd5ad7b23']",0,0,0,10,5.0,3.0,11.0,11.0,6.0,5.0,2.0,1.0,8,src/org/waveprotocol/box/server/persistence/mongodb/MongoDbStore.java: [Extract Method(25)]
org.swellrt.beta.client.wave.RemoteWaveViewService,getTarget,1541 -> 1656,122a50271f38d20512421fd8e3ea187de2c7fae5 -> ef1a30396cb95466c2e37674c0d7eabf60986422,"['https://github.com/SwellRT/swellrt/commit/8287f677f7791a59e849a4e94c374a2b7ad85bea', 'https://github.com/SwellRT/swellrt/commit/bd1cd37fbb0f96d0f9c0ed89a93b2ca144768538', 'https://github.com/SwellRT/swellrt/commit/0e723889688e358ee55ab723551f0e9bc499f01d', 'https://github.com/SwellRT/swellrt/commit/580f1c63c938f5e205f72ec5381c59b6dab41fa2', 'https://github.com/SwellRT/swellrt/commit/61b6455b465a1c4799651538d266cda2c8302e17', 'https://github.com/SwellRT/swellrt/commit/122a50271f38d20512421fd8e3ea187de2c7fae5', 'https://github.com/SwellRT/swellrt/commit/ef1a30396cb95466c2e37674c0d7eabf60986422']",0,0,0,6,5.0,3.0,5.0,5.0,4.0,4.0,1.0,1.0,4,"wave/src/main/java/org/swellrt/beta/client/wave/RemoteWaveViewService.java: [Change Method Access Modifier(5), Change Variable Type(4), Change Parameter Type(4), Extract Class(4), Change Attribute Access Modifier(2), Move Method(2), Rename Parameter(2), Remove Method Modifier(2), Move Class(1), Change Class Access Modifier(1), Remove Class Modifier(1), Move And Rename Method(1)]"
org.waveprotocol.box.server.waveserver.DeltaStoreBasedWaveletState,getTransformedDeltaHistory,11 -> 101,4127da73a276e3f68d06347dec678c7dfa9ff66e -> fe33dae18c91e33fc752162db43895f5c448b967,"['https://github.com/SwellRT/swellrt/commit/b3815a04e9114511ce962df0a70ed56841e3a003', 'https://github.com/SwellRT/swellrt/commit/4127da73a276e3f68d06347dec678c7dfa9ff66e', 'https://github.com/SwellRT/swellrt/commit/fe33dae18c91e33fc752162db43895f5c448b967']",0,0,0,1,7.0,7.0,26.0,24.0,18.0,19.0,7.0,8.0,11,"src/org/waveprotocol/box/server/waveserver/DeltaStoreBasedWaveletState.java: [Extract Method(21), Add Parameter Modifier(20), Rename Variable(12), Change Attribute Type(4), Change Variable Type(4), Add Variable Modifier(4), Rename Method(2)]"
